commune,commune_node
2A001,60623823
2A004,5856810247
2A006,417780468
2A008,5864513375
2A011,6426306560
2A014,256450201
2A017,418748489
2A018,5857824902
2A019,1247756334
2A021,1674817522
2A022,300432772
2A024,2790683423
2A026,5357603531
2A027,300434575
2A028,4275726410
2A031,1840644436
2A032,850797449
2A035,60624439
2A038,5867010602
2A040,4925160610
2A041,2914475120
2A048,420781252
2A056,5869934672
2A060,5871500304
2A061,3528003086
2A062,408066154
2A064,5872797428
2A065,6583649638
2A066,6426306657
2A070,3057279662
2A071,59750917
2A085,1829259948
2A089,2996241904
2A090,60613471
2A091,498734746
2A092,2310913518
2A094,4412249629
2A098,5966604025
2A099,4413927972
2A100,339614644
2A103,255843300
2A104,257419106
2A108,1364774950
2A114,370548455
2A115,5270769510
2A117,3084513906
2A118,5905554527
2A119,1039658761
2A127,497394577
2A128,5910787144
2A129,3589051100
2A130,3665615138
2A131,4988087881
2A132,858317623
2A133,1039659439
2A139,353275769
2A141,5016627124
2A142,4162071123
2A144,401099402
2A146,3770396355
2A154,3499900096
2A158,5915088988
2A160,5357133115
2A163,2311425360
2A174,300428514
2A181,3577255799
2A186,5919636093
2A189,2823875647
2A191,299423601
2A196,3511036468
2A197,5638129188
2A198,60612193
2A200,1280443034
2A203,5952875351
2A204,1241367976
2A209,413425358
2A211,5520632397
2A212,3744633563
2A215,6428487551
2A228,5914770595
2A232,2353615857
2A240,1241369484
2A247,2446944470
2A249,339399870
2A253,5977227380
2A254,1979898790
2A258,339614166
2A259,5992059688
2A262,826534279
2A266,6416161580
2A268,82577076
2A269,1715975782
2A270,1828781996
2A271,388323029
2A272,6058125817
2A276,339420981
2A278,6423911724
2A279,60608702
2A282,1244921903
2A284,14470587
2A285,6148950258
2A288,5019145368
2A295,3057279006
2A300,5289536769
2A308,945398782
2A310,528341660
2A312,51370819
2A322,1039652774
2A323,60624047
2A324,402956403
2A326,1839195212
2A330,3579215857
2A331,5357111874
2A336,394820338
2A345,412493727
2A348,435698180
2A349,5678123384
2A351,417622629
2A357,499044082
2A358,4410357375
2A359,4339913917
2A360,50487506
2A362,274064447
2A363,3583479742
2B002,990229152
2B003,1390058058
2B005,1705753531
2B007,5875636658
2B009,4804461527
2B010,270932904
2B012,51303672
2B013,4616574404
2B015,2695615452
2B016,5172441453
2B020,336234784
2B023,301196406
2B025,486565086
2B029,82568690
2B030,6340353696
2B033,3044478394
2B034,3700289503
2B036,3676349725
2B037,2105889644
2B039,2217306279
2B042,2090029639
2B043,4431381940
2B045,904481009
2B046,1705508045
2B047,82571741
2B049,60606744
2B050,486578425
2B051,906795863
2B052,5787223914
2B053,4575237601
2B054,2301480172
2B055,336534709
2B057,3398891616
2B058,923010075
2B059,1621662935
2B063,1022862442
2B067,1390177347
2B068,6275152364
2B069,6283501160
2B072,2619024350
2B073,498410419
2B074,5472711554
2B075,344899447
2B077,1270466778
2B078,6482601804
2B079,2619227181
2B080,493727949
2B081,218864855
2B082,1390060313
2B083,82571252
2B084,5744930125
2B086,3961904428
2B087,1039013927
2B088,5246554893
2B093,288815326
2B095,1216751609
2B096,6272893358
2B097,5779383472
2B101,497011325
2B102,3044231052
2B105,6413620850
2B106,1215491251
2B107,299144321
2B109,64912065
2B110,1829794360
2B111,6485173186
2B112,340418112
2B113,4569472970
2B116,6413620978
2B120,1798092256
2B121,277562487
2B122,1390059168
2B123,337573329
2B124,82576799
2B125,497010943
2B126,1829649493
2B134,748780420
2B135,266179306
2B136,5674990959
2B137,1215490968
2B138,3650926566
2B140,82570471
