service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
4,1,1,1,1,1,0,0,20171204,20171208
21,1,1,1,1,1,1,0,20171204,20171209
17,0,0,0,0,0,0,1,20171203,20171209
1816,1,1,1,1,1,0,0,20171204,20180302
1817,1,1,1,1,1,1,0,20171204,20180303
1815,1,1,1,1,1,0,0,20171211,20180302
2002,0,0,0,0,0,1,1,20171203,20180303
1985,0,0,0,0,0,1,0,20171209,20180303
2009,1,1,1,1,1,0,1,20171203,20180302
337,1,1,1,1,1,1,1,20171203,20180303
3040,0,0,0,0,0,0,1,20180114,20180225
10937,1,1,1,1,1,1,0,20180115,20180303
10936,1,1,1,1,1,1,1,20171210,20180113
10929,1,1,1,1,1,0,0,20180115,20180302
10940,0,0,0,0,1,0,0,20171215,20180112
10941,0,0,0,0,1,0,0,20180119,20180302
10795,1,1,1,1,1,0,0,20171211,20171224
10932,0,0,0,0,0,1,1,20180114,20180303
10931,1,0,0,0,0,1,1,20171225,20180107
10933,0,0,0,0,0,1,1,20180114,20180303
10934,1,0,0,0,0,1,1,20171225,20180113
10930,0,0,0,0,0,1,0,20171216,20180113
1677,0,0,0,0,0,1,0,20180120,20180303
10939,1,1,1,1,1,1,1,20171210,20180113
10938,1,1,1,1,1,0,0,20180115,20180302
11380,1,1,1,1,1,1,0,20180226,20180303
2642,1,1,1,1,1,0,0,20171211,20180223
9701,1,1,1,1,1,0,0,20180226,20180302
11381,1,1,1,1,1,1,0,20171211,20180224
2829,1,1,1,1,1,0,0,20171211,20171224
11384,1,1,1,1,1,0,0,20180115,20180223
10634,1,1,1,1,1,0,0,20171211,20171224
8637,1,1,1,1,1,0,0,20180115,20180302
2823,0,1,1,1,1,1,0,20171205,20171209
7975,0,0,0,0,0,0,1,20180121,20180225
7974,0,0,0,0,0,0,1,20171210,20171217
7971,0,1,0,0,0,0,0,20171225,20180108
7972,1,0,0,0,0,0,0,20180115,20180226
16347,0,0,0,0,0,1,0,20171216,20180303
16348,0,0,0,0,0,1,0,20171216,20180303
16349,0,0,0,0,0,1,1,20171210,20180303
16350,1,1,1,1,1,0,0,20171211,20180302
16351,0,0,0,0,0,1,1,20171210,20180303
16352,0,0,0,0,0,0,1,20171210,20180225
5613,1,1,1,1,1,1,0,20171211,20180303
16353,0,0,0,0,0,0,1,20171210,20180225
16354,0,0,0,0,0,1,0,20171216,20180303
5019,0,0,0,0,0,1,1,20171210,20180303
18,1,1,1,1,1,1,1,20171210,20180303
16355,0,0,0,0,0,1,1,20171210,20180303
16356,0,0,0,0,0,1,0,20171216,20180303
16357,0,0,0,0,0,1,0,20171216,20180303
16358,0,0,0,0,0,1,1,20171210,20180303
16359,1,1,1,1,1,0,0,20171211,20180302
16360,1,1,1,1,1,0,0,20171211,20180302
16361,1,1,1,1,1,0,0,20171211,20180302
16362,1,1,1,1,1,0,0,20171211,20180302
16363,1,1,1,1,1,0,0,20171211,20180302
16364,0,0,0,0,0,1,0,20171216,20180303
16365,0,0,0,0,0,1,1,20171210,20180303
16366,0,0,0,0,0,0,1,20171210,20180225
16367,0,0,0,0,0,1,1,20171210,20180303
16368,0,0,0,0,0,1,1,20171210,20180303
16369,0,0,0,0,0,1,1,20171210,20180303
11796,1,1,1,1,1,1,0,20171211,20180303
11792,1,1,1,1,1,1,1,20171210,20180303
3710,0,0,0,0,0,0,1,20171210,20180225
11911,1,1,1,1,1,0,0,20180212,20180223
11790,0,1,1,1,1,0,0,20180212,20180302
11794,1,1,1,1,1,1,1,20171210,20180303
11918,0,0,0,0,1,0,1,20180101,20180302
11917,0,0,0,0,1,0,0,20180105,20180302
11916,0,0,0,0,0,1,0,20180106,20180303
8148,1,1,1,1,1,1,1,20180212,20180303
8147,1,1,1,1,1,1,1,20171210,20180211
8150,1,1,1,1,1,0,1,20171210,20180302
8153,1,1,1,1,1,1,1,20171210,20180303
8151,1,0,0,0,0,0,0,20171225,20180101
8145,1,1,1,1,1,1,1,20171210,20180303
8143,0,1,1,1,1,0,0,20180206,20180302
8141,1,1,1,1,1,1,0,20171226,20180205
8139,1,1,1,1,1,0,0,20171211,20171223
8144,1,0,0,0,0,1,0,20180210,20180303
16370,0,0,0,0,0,1,0,20171216,20180303
16371,0,0,0,0,1,0,0,20171215,20180302
16372,1,1,1,1,0,1,0,20171211,20180303
16373,1,1,1,1,1,0,0,20171211,20180302
16374,1,1,1,1,1,0,1,20171210,20180302
16375,1,1,1,1,1,0,0,20171211,20180302
16376,0,0,0,0,0,1,0,20171216,20180303
16377,1,1,1,1,1,1,0,20171211,20180303
16378,0,0,0,0,0,0,1,20171210,20180225
16379,0,0,0,0,0,0,1,20171210,20180225
16380,1,1,1,1,1,0,0,20171211,20180302
16381,1,1,1,1,1,0,0,20171211,20180302
16382,1,1,1,1,1,0,0,20171211,20180302
3557,1,1,1,1,1,0,1,20171210,20180302
4406,1,1,1,1,1,0,1,20171210,20180302
12206,1,1,1,1,0,1,0,20171211,20180303
3102,1,1,1,1,1,1,1,20171210,20180303
6088,0,0,0,0,0,0,1,20171210,20180225
12204,1,1,1,1,1,1,1,20171210,20180303
11925,1,1,1,1,1,1,0,20171211,20180303
12203,1,1,1,1,1,1,1,20171210,20180303
12106,1,1,1,1,1,1,0,20180226,20180303
12211,1,1,1,1,1,1,1,20171210,20180225
12105,1,1,1,1,1,1,1,20171210,20180225
3678,1,1,1,1,1,0,0,20180226,20180302
3679,1,1,1,1,1,0,0,20171211,20180223
12099,1,1,1,1,1,1,0,20180226,20180303
12209,1,1,1,1,0,1,0,20171211,20171224
12210,1,1,1,1,0,1,0,20180226,20180303
12188,1,1,1,1,1,1,0,20171211,20180224
8192,1,1,1,1,1,1,1,20171210,20180303
5944,0,0,0,0,0,0,1,20171210,20180225
8206,1,0,0,0,0,0,0,20180205,20180219
3374,1,1,1,1,0,0,0,20171211,20180301
3597,1,1,1,1,1,0,0,20180226,20180302
8158,1,1,1,1,1,1,1,20171210,20180303
8185,1,1,1,1,1,1,0,20171211,20180303
8172,0,0,0,0,0,1,1,20171210,20180303
8175,1,1,1,1,1,0,0,20180205,20180302
3620,0,0,0,0,0,1,1,20171210,20180121
8180,0,0,0,0,0,1,1,20171210,20171224
8187,1,1,1,1,1,1,1,20171210,20180121
3567,0,0,0,0,0,1,1,20180127,20180225
8198,1,1,1,1,1,1,1,20171210,20180114
3695,0,0,0,0,0,1,1,20180127,20180225
664,1,1,1,1,1,0,0,20180122,20180202
8197,1,1,1,1,1,0,0,20180122,20180223
8194,1,1,1,1,1,1,1,20171210,20180121
3668,1,1,1,1,1,1,1,20180122,20180225
8176,1,1,1,1,1,0,0,20180115,20180119
3608,1,1,1,1,1,0,0,20180122,20180223
11751,0,0,0,0,0,1,1,20171210,20180303
7990,1,1,1,1,1,1,0,20171211,20180303
2758,0,0,0,0,1,0,0,20171215,20180302
8007,1,1,1,1,1,1,1,20171210,20180303
8003,0,0,0,0,0,0,1,20171210,20180225
7977,1,1,1,1,1,0,0,20171211,20180302
8017,0,0,0,0,0,1,1,20171210,20180303
8014,0,0,0,0,0,1,0,20171216,20180303
8016,1,1,1,1,0,0,0,20171211,20180301
7996,0,0,0,0,0,1,1,20180217,20180303
16383,1,1,1,1,1,0,1,20171210,20180302
7994,1,1,1,1,1,1,1,20171210,20180302
7999,1,1,1,1,1,1,1,20171210,20180216
8011,0,0,0,0,0,0,1,20180218,20180225
8020,0,0,0,0,0,1,1,20180129,20180211
16384,1,1,1,1,1,0,0,20171211,20180302
8000,1,1,1,1,1,1,1,20171210,20180302
8008,1,1,1,1,1,1,0,20180115,20180211
8019,1,1,1,1,1,0,0,20171211,20180302
8009,0,0,0,0,0,1,0,20180217,20180303
7979,0,0,0,0,0,0,1,20180129,20180211
8001,0,0,0,0,0,1,1,20180217,20180303
16385,1,1,1,1,1,0,0,20171211,20180302
8005,1,1,1,1,1,1,1,20171210,20180216
7981,1,1,1,1,1,0,0,20180122,20180218
3279,1,1,1,1,1,0,0,20180219,20180302
11284,0,0,0,0,0,1,0,20180122,20180303
647,1,1,1,1,1,0,0,20180122,20180302
3215,1,1,1,1,1,0,0,20171211,20171224
16386,0,0,0,0,0,1,0,20171216,20180303
16387,0,0,0,0,0,1,0,20171216,20180120
16388,0,0,0,0,0,0,1,20171210,20180225
10646,0,0,0,0,0,1,0,20171216,20180303
5637,0,0,0,0,0,0,1,20171210,20180121
5638,1,0,0,0,0,0,1,20171224,20171231
3087,0,0,0,0,0,1,0,20180127,20180303
5629,0,0,0,0,0,0,1,20171210,20180225
3321,0,0,0,0,0,1,1,20180127,20180303
3208,0,0,0,0,0,1,1,20171210,20180121
356,0,0,0,0,0,1,0,20171216,20180303
11279,1,1,1,1,1,1,1,20171210,20180114
639,1,1,1,1,1,1,0,20180122,20180303
5914,1,1,1,1,1,1,0,20171211,20171224
11277,1,1,1,1,1,1,1,20171210,20180303
3330,0,0,0,0,0,0,1,20180128,20180225
16389,1,1,1,1,1,0,0,20171211,20171224
11282,1,1,1,1,1,1,1,20171210,20180114
1708,0,0,0,0,0,0,1,20180121,20180211
1698,1,1,1,1,1,0,0,20180116,20180213
1696,0,0,0,0,0,1,0,20180120,20180210
7877,1,1,1,1,1,0,1,20180116,20180213
11271,1,1,1,1,1,0,0,20171211,20171224
1715,0,0,0,0,0,1,1,20180120,20180211
11274,0,0,0,0,0,0,1,20171210,20171224
11024,0,0,0,0,0,1,0,20171216,20180303
11272,0,0,0,0,0,1,1,20180212,20180303
11267,1,1,1,1,1,0,0,20171211,20171224
16390,1,1,1,1,1,0,1,20171210,20180114
11270,1,1,1,1,1,1,0,20180116,20180213
11268,1,1,1,1,1,0,0,20180116,20180204
11273,0,0,0,0,0,1,0,20171216,20180303
16391,1,1,1,1,1,1,0,20171211,20171224
16392,1,1,1,1,1,0,0,20171211,20171224
16393,0,0,0,0,0,1,1,20180212,20180303
16394,0,0,0,0,0,0,1,20171210,20171224
16395,1,1,1,1,1,0,0,20171211,20180302
16396,1,1,1,1,1,0,0,20171211,20180302
16397,1,1,1,1,1,0,0,20171211,20180302
16398,1,1,1,1,1,0,0,20180205,20180223
16399,1,1,1,1,1,1,1,20171210,20180303
16400,0,0,0,0,0,0,1,20171210,20180225
8601,1,1,1,1,1,0,0,20171211,20180302
16401,1,1,1,1,1,0,0,20171211,20180302
16402,0,0,0,0,0,0,1,20171210,20180225
16403,1,1,1,1,1,1,0,20171211,20180303
16404,0,0,0,0,0,1,0,20171216,20180303
11263,1,1,1,1,1,0,1,20171210,20180302
16405,1,1,1,1,1,1,0,20171211,20180303
16406,1,1,1,1,1,0,1,20171210,20180302
16407,1,1,1,1,1,0,0,20171211,20180302
16408,0,0,0,0,0,1,0,20171216,20180303
16409,1,1,1,1,1,0,0,20171211,20180302
16410,0,0,0,0,0,1,0,20171216,20180303
16411,1,1,1,1,1,0,0,20171211,20180302
16412,1,1,1,1,1,0,0,20171211,20180302
16413,0,0,0,0,0,0,1,20171210,20180225
11244,0,0,0,0,0,0,1,20171210,20180225
11247,1,1,1,1,1,0,1,20171210,20180302
11261,1,1,1,1,1,1,1,20171210,20180303
16414,1,1,1,1,1,0,1,20171210,20180302
11243,1,1,1,1,1,1,0,20171211,20180303
11245,0,0,0,0,0,1,0,20171216,20180303
16415,1,1,1,1,1,0,1,20171210,20180302
16416,0,0,0,0,0,1,0,20171216,20180303
16417,1,1,1,1,1,0,1,20171210,20180302
16418,1,1,1,1,1,0,0,20171211,20180302
6288,0,0,0,0,0,1,0,20171216,20180303
64,1,1,1,1,0,0,0,20171204,20171207
7978,0,0,0,0,0,1,0,20171216,20180303
7980,0,0,0,0,0,0,1,20180212,20180225
7976,0,1,1,1,1,0,0,20171212,20180302
16419,1,1,1,1,1,0,0,20171211,20180302
16420,1,1,1,1,1,0,0,20180122,20180211
16421,1,1,1,1,1,0,0,20180119,20180302
16422,1,1,1,1,1,0,0,20171211,20180302
