service_id,date,exception_type
2,20171203,1
2,20171209,1
5,20171209,1
35,20171203,1
35,20171208,1
17,20171209,1
1816,20171225,2
1816,20180101,2
1817,20171225,2
1817,20180101,2
1815,20171225,2
1815,20180101,2
2002,20171225,1
2002,20180101,1
2009,20171209,1
10929,20180219,2
10795,20180108,1
10795,20171226,1
10795,20171227,1
10795,20171228,1
10795,20171229,1
10795,20180102,1
10795,20180103,1
10795,20180104,1
10795,20180105,1
10795,20180109,1
10795,20180110,1
10795,20180111,1
10795,20180112,1
10931,20171210,1
10931,20171216,1
10931,20171217,1
10931,20171223,1
10931,20171224,1
10934,20171210,1
10934,20171216,1
10934,20171217,1
10934,20171223,1
10934,20171224,1
10934,20180108,2
2642,20171225,2
2642,20180101,2
11381,20171225,2
11381,20180101,2
2829,20180108,1
2829,20171226,1
2829,20171227,1
2829,20171228,1
2829,20171229,1
2829,20180102,1
2829,20180103,1
2829,20180104,1
2829,20180105,1
2829,20180109,1
2829,20180110,1
2829,20180111,1
2829,20180112,1
10634,20180108,1
10634,20171226,1
10634,20171227,1
10634,20171228,1
10634,20171229,1
10634,20180102,1
10634,20180103,1
10634,20180104,1
10634,20180105,1
10634,20180109,1
10634,20180110,1
10634,20180111,1
10634,20180112,1
7974,20171225,1
7974,20180101,1
7974,20171231,2
7971,20180108,1
7971,20171211,1
7971,20171218,1
16349,20171225,1
16349,20180101,1
16350,20171225,2
16350,20180101,2
16351,20171225,1
16351,20180101,1
16352,20171225,1
16352,20180101,1
5613,20171225,2
5613,20180101,2
16353,20171225,1
16353,20180101,1
5019,20171225,1
5019,20180101,1
16355,20171225,1
16355,20180101,1
16358,20171225,1
16358,20180101,1
16359,20171225,2
16359,20180101,2
16360,20171225,2
16360,20180101,2
16361,20171225,2
16361,20180101,2
16362,20171225,2
16362,20180101,2
16363,20171225,2
16363,20180101,2
16365,20171225,1
16365,20180101,1
16366,20171225,1
16366,20180101,1
16367,20171225,1
16367,20180101,1
16368,20171225,1
16368,20180101,1
16369,20171225,1
16369,20180101,1
11796,20171225,2
11796,20180101,2
11792,20180212,2
11792,20180213,2
11792,20180214,2
11792,20180215,2
11792,20180216,2
11792,20180219,2
11792,20180220,2
11792,20180221,2
11792,20180222,2
11792,20180223,2
11792,20180226,2
11792,20180227,2
11792,20180228,2
11792,20180301,2
11792,20180302,2
3710,20171225,1
3710,20180101,1
11790,20171226,1
11790,20171227,1
11790,20171228,1
11790,20171229,1
11790,20180102,1
11790,20180103,1
11790,20180104,1
11790,20180105,1
11790,20171211,1
11790,20171212,1
11790,20171213,1
11790,20171214,1
11790,20171215,1
11790,20171218,1
11790,20171219,1
11790,20171220,1
11790,20171221,1
11790,20171222,1
11790,20180108,1
11790,20180109,1
11790,20180110,1
11790,20180111,1
11790,20180112,1
11790,20180115,1
11790,20180116,1
11790,20180117,1
11790,20180118,1
11790,20180119,1
11790,20180122,1
11790,20180123,1
11790,20180124,1
11790,20180125,1
11790,20180126,1
11790,20180129,1
11790,20180130,1
11790,20180131,1
11790,20180201,1
11790,20180202,1
11790,20180205,1
11790,20180206,1
11790,20180207,1
11790,20180208,1
11790,20180209,1
11790,20180213,2
11790,20180214,2
11790,20180215,2
11790,20180220,2
11790,20180221,2
11790,20180222,2
11790,20180227,2
11790,20180228,2
11790,20180301,2
11790,20171225,2
11790,20180101,2
11918,20180101,1
8150,20171225,2
8150,20180101,2
8141,20180101,2
8139,20171223,1
8139,20171218,2
16372,20171225,2
16372,20180101,2
16373,20171225,2
16373,20180101,2
16375,20171225,2
16375,20180101,2
16377,20171225,2
16377,20180101,2
16378,20171225,1
16378,20180101,1
16379,20171225,1
16379,20180101,1
16380,20171225,2
16380,20180101,2
16381,20171225,2
16381,20180101,2
16382,20171225,2
16382,20180101,2
12206,20171223,2
12206,20171225,2
12206,20171226,2
12206,20171227,2
12206,20171228,2
12206,20171230,2
12206,20180101,2
12206,20180102,2
12206,20180103,2
12206,20180104,2
12206,20180106,2
6088,20180101,1
6088,20171225,1
6088,20171231,2
6088,20171224,2
11925,20171225,2
11925,20180101,2
12203,20180122,2
12203,20180123,2
12203,20180124,2
12203,20180125,2
12203,20180126,2
12203,20180129,2
12203,20180130,2
12203,20180131,2
12203,20180201,2
12203,20180202,2
12203,20180205,2
12203,20180206,2
