route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCEDB-80194035-87213470,2,OCEDB018819F030015393,"18819",1,,
OCEDB-80194035-87213470,2,OCEDB018809F030015385,"18809",1,,
OCEDB-80194035-87213470,2,OCEDB018815F030015390,"18815",1,,
OCEDB-80194035-87213470,2,OCEDB018835F030015405,"18835",1,,
OCEDB-80194035-87213470,2,OCEDB018807F030015383,"18807",1,,
OCEDB-80194035-87213470,4,OCEDB018805F040015382,"18805",1,,
OCEDB-80194035-87213470,4,OCEDB018811F030015387,"18811",1,,
OCEDB-80194035-87213470,2,OCEDB018837F030015407,"18837",1,,
OCEDB-80194035-87213470,2,OCEDB018823F030015395,"18823",1,,
OCEDB-80194035-87213470,2,OCEDB018827F030015399,"18827",1,,
OCEDB-80194035-87213470,2,OCEDB018825F030015397,"18825",1,,
OCEDB-80194035-87213470,2,OCEDB018831F030015402,"18831",1,,
OCEDB-80194035-87213470,2,OCEDB018817F010015392,"18817",1,,
OCEDB-80194035-87213470,21,OCEDB018841F020015409,"18841",1,,
OCEDB-80194035-87213470,5,OCEDB018810F030015386,"18810",0,,
OCEDB-80194035-87213470,2,OCEDB018816F030025391,"18816",0,,
OCEDB-80194035-87213470,35,OCEDB018842F030015410,"18842",0,,
OCEDB-80194035-87213470,2,OCEDB018812F030015388,"18812",0,,
OCEDB-80194035-87213470,2,OCEDB018814F030015389,"18814",0,,
OCEDB-80194035-87213470,2,OCEDB018828F030015400,"18828",0,,
OCEDB-80194035-87213470,21,OCEDB018804F030015380,"18804",0,,
OCEDB-80194035-87213470,2,OCEDB018830F030015401,"18830",0,,
OCEDB-80194035-87213470,2,OCEDB018824F030015396,"18824",0,,
OCEDB-80194035-87213470,4,OCEDB018800F030015376,"18800",0,,
OCEDB-80194035-87213470,4,OCEDB018802F030015378,"18802",0,,
OCEDB-80194035-87213470,2,OCEDB018832F030015403,"18832",0,,
OCEDB-80194035-87213470,4,OCEDB018836F030015406,"18836",0,,
OCEDB-80194035-87213470,35,OCEDB018808F030015384,"18808",0,,
OCEDB-80194035-87213470,2,OCEDB018840F030015408,"18840",0,,
