stop,stop_node
0,255850481
1,276984551
2,417009678
3,258557760
4,258557760
5,406126166
6,258557760
7,256911958
8,2781453707
9,2358639551
10,2358639505
11,721337606
12,338866038
14,721337606
15,2781453707
20,2485146104
21,2485146104
22,3228062289
23,1251813921
24,1253176735
25,1251813921
26,440346912
28,271322729
30,271322729
31,271322729
33,2219924837
35,1039032311
37,1373050991
38,1390058340
39,1335030508
40,1335030508
41,1117866543
43,2223467332
48,2232151985
49,2232151985
50,51336794
52,1432456548
53,2788107138
54,1811471390
55,336545937
56,3228062289
58,2349194557
59,1081003171
60,2358639286
