,DEPCOM,MACROZONE,Macro_agre,NOM,POP2010,POP2011
0,75101,Paris,Paris Iintramuros,Paris 1er Arrondissement,17308,17443
1,75102,Paris,Paris Iintramuros,Paris 2e  Arrondissement,23009,22927
2,75103,Paris,Paris Iintramuros,Paris 3e  Arrondissement,35652,36120
3,75104,Paris,Paris Iintramuros,Paris 4e  Arrondissement,28012,27887
4,75105,Paris,Paris Iintramuros,Paris 5e  Arrondissement,60938,60800
5,75106,Paris,Paris Iintramuros,Paris 6e  Arrondissement,43451,43880
6,75107,Paris,Paris Iintramuros,Paris 7e  Arrondissement,57974,57786
7,75108,Haussmann,Paris intramuros,Paris 8e  Arrondissement,41280,40589
8,75109,Haussmann,Paris intramuros,Paris 9e  Arrondissement,60139,60120
9,75110,RER E - tronc commun,Paris Iintramuros,Paris 10e  Arrondissement,95394,94027
10,75111,Paris,Paris Iintramuros,Paris 11e  Arrondissement,153202,154647
11,75112,Paris,Paris Iintramuros,Paris 12e  Arrondissement,144262,144402
12,75113,Paris,Paris Iintramuros,Paris 13e  Arrondissement,181532,183260
13,75114,Paris,Paris Iintramuros,Paris 14e  Arrondissement,138299,140317
14,75115,Paris,Paris Iintramuros,Paris 15e  Arrondissement,236715,238395
15,75116,RER E - la Drfense,Paris Iintramuros,Paris 16e  Arrondissement,171124,169942
16,75117,RER E - la Drfense,Paris Iintramuros,Paris 17e  Arrondissement,169325,170174
17,75118,RER E - tronc commun,Paris Iintramuros,Paris 18e  Arrondissement,202685,203127
18,75119,RER E - tronc commun,Paris Iintramuros,Paris 19e  Arrondissement,186652,186090
19,75120,Paris,Paris Iintramuros,Paris 20e  Arrondissement,196880,198042
20,77001,77,,Ach0res-la-Fornt,1242,1232
21,77002,77,,Amillis,774,781
22,77003,77,,Amponville,385,388
23,77004,77,,Andrezel,303,299
24,77005,77,,Annet-sur-Marne,3239,3229
25,77006,77,,Arbonne-la-For?t,1024,1025
26,77007,P - Provins,,Argenti?res,388,395
27,77008,77,,Armenti?res-en-Brie,1405,1399
28,77009,77,,Arville,132,127
29,77010,P - Provins,,Aubepierre-Ozouer-le-Repos,904,895
30,77011,77,,Aufferville,551,547
31,77012,77,,Augers-en-Brie,304,304
32,77013,77,,Aulnoy,386,386
33,77014,77,,Avon,13984,14084
34,77015,77,,Baby,85,94
35,77016,77,,Bagneaux-sur-Loing,1704,1695
36,77018,RER A Marne,,Bailly-Romainvilliers,6516,6884
37,77019,77,,Balloy,331,325
38,77020,77,,Bannost-Villegagnon,636,649
39,77021,77,,Barbey,193,195
40,77022,77,,Barbizon,1346,1357
41,77023,77,,Barcy,236,249
42,77024,77,,Bassevelle,352,349
43,77025,77,,Bazoches-l?s-Bray,827,826
44,77026,77,,Beauchery-Saint-Martin,410,411
45,77027,77,,Beaumont-du-G?tinais,1164,1159
46,77028,77,,Beautheil,712,724
47,77029,P - Provins,,Beauvoir,189,194
48,77030,77,,Bellot,809,799
49,77031,77,,Bernay-Vilbert,837,843
50,77032,77,,Beton-Bazoches,781,812
51,77033,77,,Bezalles,229,236
52,77034,77,,Blandy,760,735
53,77035,77,,Blennes,562,566
54,77036,77,,Boisdon,92,97
